category,name,website,notes
lectures,UC Berkeley Pauley Ballroom,https://eventservices.berkeley.edu/venues/pauley-ballroom,"Berkeley; university venue; lecture/dance/music (hybrid)"
theatre,Calvin Simmons Theatre (Henry J. Kaiser Center),https://www.hjkarts.com/home,"Oakland; Henry J. Kaiser Center; theatre/music/lecture (hybrid)"
theatre,Bayview Opera House,https://bayviewoperahouse.org/,"San Francisco; community venue; music/theatre/lecture (hybrid)"
theatre,Herbst Theatre,https://www.sfherbsttheatre.org/,"San Francisco; War Memorial complex; music/lecture/theatre (hybrid)"
theatre,Palace of Fine Arts Theatre,https://palaceoffinearts.org/,"San Francisco; historic venue; lecture/theatre/music (hybrid)"
music,Bing Concert Hall (Stanford),https://music.stanford.edu/venues-facilities/venues/bing-concert-hall,"Stanford; university venue"
music,Braun Music Center â€“ Campbell Recital Hall (Stanford),https://arts.stanford.edu/venues-and-facilities/,"Stanford; university venue"
lectures,Dinkelspiel Auditorium (Stanford),https://music.stanford.edu/venues-facilities/venues/dinkelspiel-auditorium,"Stanford; lecture/music (hybrid)"
music,Frost Amphitheater (Stanford),https://arts.stanford.edu/venues-and-facilities/,"Stanford; music/festival (hybrid)"
lectures,Memorial Auditorium (Stanford),https://arts.stanford.edu/venues-and-facilities/,"Stanford; lecture/music/theatre (hybrid)"
music,Ashkenaz Music & Dance Community Center,https://ashkenaz.com/,"Berkeley; music/dance"
music,Cow Palace,https://cowpalace.com/,"Daly City; arena; music/festival/sports (hybrid)"
theatre,Mountain View Center for the Performing Arts,https://www.mv-arts.org/,"Mountain View; performing arts; music/theatre/dance (hybrid)"
theatre,Fox Theatre (Redwood City),https://foxrwc.com/,"Redwood City; music/theatre/comedy (hybrid)"
music,Great American Music Hall,https://greatamericanmusichall.com/,"San Francisco; live music"
